player_id,expected_points,salary,exp_fp,proj
39961787,1.0,11000,1.0,1.0
39962180,1.0,10700,1.0,1.0
39962181,1.0,10200,1.0,1.0
39962182,1.0,10200,1.0,1.0
39961788,1.0,10200,1.0,1.0
39961789,1.0,10000,1.0,1.0
39962183,1.0,9800,1.0,1.0
39962184,1.0,9700,1.0,1.0
39962185,1.0,9700,1.0,1.0
39962187,1.0,9700,1.0,1.0
39962189,1.0,9700,1.0,1.0
39962188,1.0,9700,1.0,1.0
39962186,1.0,9700,1.0,1.0
39962190,1.0,9600,1.0,1.0
39962191,1.0,9600,1.0,1.0
39962192,1.0,9300,1.0,1.0
39962195,1.0,9200,1.0,1.0
39962197,1.0,9200,1.0,1.0
39962194,1.0,9200,1.0,1.0
39962196,1.0,9200,1.0,1.0
39962193,1.0,9200,1.0,1.0
39961790,1.0,9000,1.0,1.0
39962198,1.0,9000,1.0,1.0
39962199,1.0,9000,1.0,1.0
39962200,1.0,8800,1.0,1.0
39962201,1.0,8800,1.0,1.0
39961791,1.0,8700,1.0,1.0
39962202,1.0,8700,1.0,1.0
39962203,1.0,8600,1.0,1.0
39962204,1.0,8500,1.0,1.0
39962205,1.0,8500,1.0,1.0
39962206,1.0,8300,1.0,1.0
39962207,1.0,8300,1.0,1.0
39962208,1.0,8300,1.0,1.0
39962210,1.0,8200,1.0,1.0
39962213,1.0,8200,1.0,1.0
39961792,1.0,8200,1.0,1.0
39962209,1.0,8200,1.0,1.0
39962214,1.0,8200,1.0,1.0
39962215,1.0,8200,1.0,1.0
39962211,1.0,8200,1.0,1.0
39962212,1.0,8200,1.0,1.0
39962216,1.0,8000,1.0,1.0
39962217,1.0,8000,1.0,1.0
39962218,1.0,8000,1.0,1.0
39961793,1.0,8000,1.0,1.0
39962219,1.0,8000,1.0,1.0
39962220,1.0,7900,1.0,1.0
39962221,1.0,7800,1.0,1.0
39962222,1.0,7800,1.0,1.0
39962223,1.0,7700,1.0,1.0
39962226,1.0,7700,1.0,1.0
39962227,1.0,7700,1.0,1.0
39962228,1.0,7700,1.0,1.0
39962224,1.0,7700,1.0,1.0
39962225,1.0,7700,1.0,1.0
39962229,1.0,7500,1.0,1.0
39962230,1.0,7500,1.0,1.0
39962231,1.0,7500,1.0,1.0
39962232,1.0,7300,1.0,1.0
39962233,1.0,7300,1.0,1.0
39961794,1.0,7200,1.0,1.0
39962238,1.0,7200,1.0,1.0
39962239,1.0,7200,1.0,1.0
39962240,1.0,7200,1.0,1.0
39962241,1.0,7200,1.0,1.0
39962242,1.0,7200,1.0,1.0
39962243,1.0,7200,1.0,1.0
39962244,1.0,7200,1.0,1.0
39962245,1.0,7200,1.0,1.0
39962246,1.0,7200,1.0,1.0
39962249,1.0,7200,1.0,1.0
