Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Svi Mykhailiuk (41495235),Svi Mykhailiuk,41495235,SG/SF/F/G/UTIL,3500,UTA@CLE 01/12/2026 07:00PM ET,UTA,17
PF,Caleb Martin (41495243),Caleb Martin,41495243,PF/F/UTIL,3500,BKN@DAL 01/12/2026 08:30PM ET,DAL,6.38
PF,Jordan Walsh (41495240),Jordan Walsh,41495240,PF/F/UTIL,3500,BOS@IND 01/12/2026 07:30PM ET,BOS,16.32
SG/SF,Ochai Agbaji (41495250),Ochai Agbaji,41495250,SG/SF/F/G/UTIL,3400,PHI@TOR 01/12/2026 07:30PM ET,TOR,9.86
PF,Nae'Qwan Tomlin (41495255),Nae'Qwan Tomlin,41495255,PF/F/UTIL,3400,UTA@CLE 01/12/2026 07:00PM ET,CLE,13.47
PF,Taylor Hendricks (41495258),Taylor Hendricks,41495258,PF/F/UTIL,3400,UTA@CLE 01/12/2026 07:00PM ET,UTA,12.04
PG/SG,D'Angelo Russell (41495261),D'Angelo Russell,41495261,PG/SG/G/UTIL,3400,BKN@DAL 01/12/2026 08:30PM ET,DAL,19.91
SF/PF,Jabari Walker (41495265),Jabari Walker,41495265,SF/PF/F/UTIL,3300,PHI@TOR 01/12/2026 07:30PM ET,PHI,9.99
PF,Jamison Battle (41495277),Jamison Battle,41495277,PF/F/UTIL,3300,PHI@TOR 01/12/2026 07:30PM ET,TOR,6.22
C,Moussa Cisse (41495280),Moussa Cisse,41495280,C/UTIL,3300,BKN@DAL 01/12/2026 08:30PM ET,DAL,10.46
PG,Nolan Traore (41495282),Nolan Traore,41495282,PG/G/UTIL,3300,BKN@DAL 01/12/2026 08:30PM ET,BKN,10.53
SG/SF,Baylor Scheierman (41495269),Baylor Scheierman,41495269,SG/SF/F/G/UTIL,3300,BOS@IND 01/12/2026 07:30PM ET,BOS,6.82
SG,Ben Sheppard (41495274),Ben Sheppard,41495274,SG/G/UTIL,3300,BOS@IND 01/12/2026 07:30PM ET,IND,16.02
PF/C,Jonathan Mogbo (41495293),Jonathan Mogbo,41495293,PF/C/F/UTIL,3200,PHI@TOR 01/12/2026 07:30PM ET,TOR,4.57
PG/SG,Lonzo Ball (41495285),Lonzo Ball,41495285,PG/SG/G/UTIL,3200,UTA@CLE 01/12/2026 07:00PM ET,CLE,19.74
PG/SG,Jaden Hardy (41495289),Jaden Hardy,41495289,PG/SG/G/UTIL,3200,BKN@DAL 01/12/2026 08:30PM ET,DAL,9.44
SG,Alijah Martin (41495302),Alijah Martin,41495302,SG/G/UTIL,3100,PHI@TOR 01/12/2026 07:30PM ET,TOR,9.75
