Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Gui Santos (41505620),Gui Santos,41505620,CPT,3000,POR@GSW 01/13/2026 11:00PM ET,GSW,8.85
C,Robert Williams (41505583),Robert Williams,41505583,UTIL,2400,POR@GSW 01/13/2026 11:00PM ET,POR,18.26
SG/SF,Rayan Rupert (41505621),Rayan Rupert,41505621,CPT,2400,POR@GSW 01/13/2026 11:00PM ET,POR,5.87
PF,Gui Santos (41505584),Gui Santos,41505584,UTIL,2000,POR@GSW 01/13/2026 11:00PM ET,GSW,8.85
SG,Will Richard (41505622),Will Richard,41505622,CPT,1800,POR@GSW 01/13/2026 11:00PM ET,GSW,14.5
SG/SF,Rayan Rupert (41505585),Rayan Rupert,41505585,UTIL,1600,POR@GSW 01/13/2026 11:00PM ET,POR,5.87
PF,Malevy Leons (41505623),Malevy Leons,41505623,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,GSW,0
PF/C,Duop Reath (41505624),Duop Reath,41505624,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,POR,5.49
PG,L.J. Cryer (41505625),L.J. Cryer,41505625,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,GSW,0
C,Trayce Jackson-Davis (41505626),Trayce Jackson-Davis,41505626,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,GSW,12.5
C,Hansen Yang (41505627),Hansen Yang,41505627,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,POR,6.38
PG/SG,Pat Spencer (41505628),Pat Spencer,41505628,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,GSW,15.02
SF,Buddy Hield (41505629),Buddy Hield,41505629,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,GSW,14.48
SG,Javonte Cooke (41505630),Javonte Cooke,41505630,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,POR,3.75
PG/SG,Blake Wesley (41505633),Blake Wesley,41505633,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,POR,16.92
PG,Seth Curry (41505634),Seth Curry,41505634,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,GSW,14.25
PG,Damian Lillard (41505635),Damian Lillard,41505635,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,POR,0
PF,Matisse Thybulle (41505636),Matisse Thybulle,41505636,CPT,1500,POR@GSW 01/13/2026 11:00PM ET,POR,12.75
SG,Will Richard (41505586),Will Richard,41505586,UTIL,1200,POR@GSW 01/13/2026 11:00PM ET,GSW,14.5
PF,Malevy Leons (41505587),Malevy Leons,41505587,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,GSW,0
PF/C,Duop Reath (41505588),Duop Reath,41505588,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,POR,5.49
PG,L.J. Cryer (41505589),L.J. Cryer,41505589,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,GSW,0
C,Trayce Jackson-Davis (41505590),Trayce Jackson-Davis,41505590,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,GSW,12.5
C,Hansen Yang (41505591),Hansen Yang,41505591,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,POR,6.38
PG/SG,Pat Spencer (41505592),Pat Spencer,41505592,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,GSW,15.02
SF,Buddy Hield (41505593),Buddy Hield,41505593,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,GSW,14.48
SG,Javonte Cooke (41505594),Javonte Cooke,41505594,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,POR,3.75
PG/SG,Blake Wesley (41505597),Blake Wesley,41505597,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,POR,16.92
PG,Seth Curry (41505598),Seth Curry,41505598,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,GSW,14.25
PG,Damian Lillard (41505599),Damian Lillard,41505599,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,POR,0
PF,Matisse Thybulle (41505600),Matisse Thybulle,41505600,UTIL,1000,POR@GSW 01/13/2026 11:00PM ET,POR,12.75
