Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Eric Gordon (40192628),Eric Gordon,40192628,CPT,3900,PHI@NYK 10/02/2025 12:00PM ET,PHI,13.10
PG/SG,Miles McBride (40192578),Miles McBride,40192578,UTIL,3800,PHI@NYK 10/02/2025 12:00PM ET,NYK,18.06
PF/C,Guerschon Yabusele (40192579),Guerschon Yabusele,40192579,UTIL,3600,PHI@NYK 10/02/2025 12:00PM ET,NYK,23.72
PG,Tyler Kolek (40192629),Tyler Kolek,40192629,CPT,3600,PHI@NYK 10/02/2025 12:00PM ET,NYK,5.89
PG/SG,Kyle Lowry (40192630),Kyle Lowry,40192630,CPT,3600,PHI@NYK 10/02/2025 12:00PM ET,PHI,13.08
SG/SF,Landry Shamet (40192580),Landry Shamet,40192580,UTIL,3400,PHI@NYK 10/02/2025 12:00PM ET,NYK,8.51
SG/SF,Pacome Dadiet (40192631),Pacome Dadiet,40192631,CPT,3300,PHI@NYK 10/02/2025 12:00PM ET,NYK,3.65
PG,Jalen Hood-Schifino (40192632),Jalen Hood-Schifino,40192632,CPT,3300,PHI@NYK 10/02/2025 12:00PM ET,PHI,14.48
PF/C,Trendon Watford (40192581),Trendon Watford,40192581,UTIL,3200,PHI@NYK 10/02/2025 12:00PM ET,PHI,20.35
PF/C,Precious Achiuwa (40192582),Precious Achiuwa,40192582,UTIL,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,16.15
SG/SF,Lonnie Walker IV (40192633),Lonnie Walker IV,40192633,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,PHI,22.11
SF/PF,Justin Edwards (40192634),Justin Edwards,40192634,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,PHI,19.70
PG,Jeff Dowtin (40192635),Jeff Dowtin,40192635,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,PHI,13.55
SF/PF,Tosan Evbuomwan (40192636),Tosan Evbuomwan,40192636,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,20
SF,Kevin McCullar Jr. (40192637),Kevin McCullar Jr.,40192637,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,5.75
C,Trey Jemison (40192638),Trey Jemison,40192638,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,7.53
PF/C,Dominick Barlow (40192639),Dominick Barlow,40192639,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,PHI,9.64
SF/PF,Marjon Beauchamp (40192640),Marjon Beauchamp,40192640,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,4.39
SF,Anton Watson (40192641),Anton Watson,40192641,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,1.75
SF,Mohamed Diawara (40192642),Mohamed Diawara,40192642,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,0
C,Johni Broome (40192643),Johni Broome,40192643,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,PHI,0
PF/C,P.J. Tucker (40192644),P.J. Tucker,40192644,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,6
PG/SG,Cameron Payne (40192645),Cameron Payne,40192645,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,13.13
C,Ariel Hukporti (40192646),Ariel Hukporti,40192646,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,5.58
PG,Delon Wright (40192647),Delon Wright,40192647,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,NYK,9.59
SG,Hunter Sallis (40192648),Hunter Sallis,40192648,CPT,3000,PHI@NYK 10/02/2025 12:00PM ET,PHI,0
PF/C,Jabari Walker (40192583),Jabari Walker,40192583,UTIL,2800,PHI@NYK 10/02/2025 12:00PM ET,PHI,11.81
SF,Eric Gordon (40192584),Eric Gordon,40192584,UTIL,2600,PHI@NYK 10/02/2025 12:00PM ET,PHI,13.10
PG,Tyler Kolek (40192585),Tyler Kolek,40192585,UTIL,2400,PHI@NYK 10/02/2025 12:00PM ET,NYK,5.89
PG/SG,Kyle Lowry (40192586),Kyle Lowry,40192586,UTIL,2400,PHI@NYK 10/02/2025 12:00PM ET,PHI,13.08
SG/SF,Pacome Dadiet (40192587),Pacome Dadiet,40192587,UTIL,2200,PHI@NYK 10/02/2025 12:00PM ET,NYK,3.65
PG,Jalen Hood-Schifino (40192588),Jalen Hood-Schifino,40192588,UTIL,2200,PHI@NYK 10/02/2025 12:00PM ET,PHI,14.48
