PG,SG,SF,PF,C,G,F,UTIL
41494974,41494984,41495145,41494995,41495387,41495261,41495392,41495005
41494974,41495285,41494992,41495005,41495392,41494984,41495145,41495387
41494974,41495080,41495098,41495005,41495074,41494984,41495392,41495387
41494974,41495261,41494992,41495392,41495074,41495002,41495013,41495387
41494974,41494984,41495046,41494995,41495074,41495192,41495392,41495387
41494974,41495261,41495046,41495392,41495074,41494984,41494992,41495387
41494974,41495285,41495145,41495392,41495387,41494984,41494995,41495002
41494974,41495080,41494992,41495145,41495074,41494984,41495392,41495387
41494974,41495261,41494977,41495392,41495074,41495034,41495005,41495387
41494974,41495285,41495046,41495392,41495074,41494984,41495005,41495387
41494974,41494984,41495098,41495005,41495392,41495285,41495013,41495387
41494974,41495017,41494992,41494995,41495074,41495261,41495392,41495387
41494974,41495080,41495054,41495392,41495387,41495002,41495005,41495074
41494974,41495261,41495054,41495005,41495387,41494984,41495392,41495034
41495002,41495098,41495046,41495005,41495387,41494974,41495392,41495074
41495261,41495098,41494992,41495005,41495387,41494974,41495392,41494995
41494974,41495285,41494992,41495392,41495387,41495017,41495005,41495074
41494974,41495261,41494992,41495005,41495074,41495008,41495392,41495387
41494974,41495125,41495080,41494995,41495387,41494984,41495392,41495074
41494974,41494984,41495046,41495392,41495387,41495261,41495054,41494995
