PG,SG,SF,PF,C,G,F,UTIL
41495510,41495481,41495472,41495484,41495475,41495451,41495519,41495462
41495510,41495506,41495519,41495484,41495475,41495456,41495462,41495451
41495510,41495481,41495472,41495484,41495576,41495445,41495462,41495475
41495510,41495506,41495472,41495462,41495487,41495451,41495484,41495481
41495439,41495481,41495519,41495462,41495475,41495585,41495484,41495510
41495456,41495481,41495519,41495484,41495475,41495506,41495442,41495510
41495510,41495481,41495472,41495484,41495475,41495451,41495595,41495456
41495510,41495481,41495472,41495522,41495487,41495451,41495462,41495475
41495510,41495506,41495442,41495462,41495576,41495456,41495484,41495475
41495439,41495506,41495519,41495462,41495475,41495510,41495522,41495481
41495510,41495481,41495472,41495522,41495576,41495451,41495442,41495475
41495510,41495451,41495519,41495462,41495475,41495456,41495522,41495472
41495439,41495510,41495519,41495462,41495475,41495526,41495472,41495506
41495439,41495481,41495472,41495484,41495576,41495510,41495519,41495475
41495510,41495451,41495442,41495545,41495576,41495481,41495462,41495475
41495510,41495481,41495472,41495462,41495475,41495585,41495484,41495442
41495510,41495481,41495442,41495462,41495475,41495451,41495519,41495595
41495510,41495481,41495519,41495484,41495522,41495451,41495442,41495475
41495510,41495481,41495472,41495545,41495475,41495638,41495462,41495439
41495439,41495481,41495472,41495595,41495576,41495510,41495462,41495475
